Gaza Civil Defense crews on frontline, with Jon Elmer	4jDj-l_m3DQ	https://www.youtube.com/watch?v=4jDj-l_m3DQ
My friend knew Israel could kill him next, with Ahmed Al-Najjar	WRictgy5ja4	https://www.youtube.com/watch?v=WRictgy5ja4
Israel massacres journalists in Gaza during "ceasefire," with Nora Barrows-Friedman	eQb7gRTZA9w	https://www.youtube.com/watch?v=eQb7gRTZA9w
Unseen Abu Obeida footage released, with Jon Elmer	-McKSauhAZs	https://www.youtube.com/watch?v=-McKSauhAZs
Trump's Board of Peace pushes genocide with a "humanitarian" face, with Ali Abunimah	8gQDHhiIrMU	https://www.youtube.com/watch?v=8gQDHhiIrMU
Adelaide Writers Week cancelled after backlash for excluding Palestinian author, with Ali Abunimah	nWAPKAmfLSM	https://www.youtube.com/watch?v=nWAPKAmfLSM
Why I'm suing the Swiss official who ordered me arrested, with Ali Abunimah	6jI2xvtc5mc	https://www.youtube.com/watch?v=6jI2xvtc5mc
Babies die of hypothermia in Gaza, with Nora Barrows-Friedman	8DVX3JXuvN0	https://www.youtube.com/watch?v=8DVX3JXuvN0
Prisoners end hunger strikes, claiming partial victory, with Asa Winstanley	hUmLLh_OPiA	https://www.youtube.com/watch?v=hUmLLh_OPiA
NY takes action to end terror by Zionist group Betar, with Ali Abunimah	tHStlfn_ykU	https://www.youtube.com/watch?v=tHStlfn_ykU
Will Mahmoud Khalil be arrested again? with Ali Abunimah	LD0MeX2Mkr8	https://www.youtube.com/watch?v=LD0MeX2Mkr8
Iran defiant in the face of US, Israel regime change efforts, with Mohammad Marandi	9iPB6GxZOlk	https://www.youtube.com/watch?v=9iPB6GxZOlk
Resistance fighter behind iconic battlefield video, with Jon Elmer	_EafdCnOe_c	https://www.youtube.com/watch?v=_EafdCnOe_c
Victory for Ali Abunimah after Switzerland arrest	rlCC0IXRs54	https://www.youtube.com/watch?v=rlCC0IXRs54
Israel massacres children in Gaza tent shelters, with Nora Barrows-Friedman	59OjP6l_hWs	https://www.youtube.com/watch?v=59OjP6l_hWs
Who will stand up to US bullying? with Justin Podur	H-y3OATIYRs	https://www.youtube.com/watch?v=H-y3OATIYRs
Resistance sends messages of solidarity with Venezuela, with Jon Elmer	F5oXsQp_BAg	https://www.youtube.com/watch?v=F5oXsQp_BAg
Tony Greenstein's case is a test for thought crimes in the UK, with Ali Abunimah	m1mokcwukfo	https://www.youtube.com/watch?v=m1mokcwukfo
Storms, starvation as Gaza enters new year under Israeli siege, with Nora Barrows-Friedman	hPBKAj__Nwo	https://www.youtube.com/watch?v=hPBKAj__Nwo
Resistance announces death of Abu Obeida, with Jon Elmer	g_1mnJvIrjA	https://www.youtube.com/watch?v=g_1mnJvIrjA
Here's what "intifada" really means	Y-B9XitT-so	https://www.youtube.com/watch?v=Y-B9XitT-so
